job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
34,Completion Engineer,"US, CA, San Ramon",,,"Valor Services provides Workforce Solutions that meet the needs of companies across the Private Sector, with a special focus on the Oil &amp; Gas Industry. Valor Services will be involved with you throughout every step of the hiring process and remain in contact with you all the way through the final step of signing of the employment contract with your new employer. Valor Services was founded with the vision of employing the unique skills, experiences, and qualities of America’s finest veterans to provide Private Sector companies with precise and concerted value-added services – and America’s finest Veterans with an optimized career opportunity.We are eager to get the word out to veterans that there are ample opportunities for employment in the private sector and that you are the ideal candidates to fill those positions. Valor Services Your Success is Our Mission. ™ ","About the CompanyThis is an amazing job opportunity with one of the most robust companies in the Energy Industry! Opportunities for advancement are extensive as the company is currently growing and looking for outstanding employees to grow with it. Strong compensation and benefits packages are available for qualified candidates who want to join the largest player in the Bakken Shale and leader in the Oklahoma Shale plays. Contact us today for an opportunity to join one of the Industry’s leaders in the mission to achieve American energy independence!Please note: This job will require relocation to Oklahoma City, OK.SummaryAssist in preparing completions, testing, and workover procedures. Maintain project management control over equipment installation, well completion, and workovers.Essential Job FunctionsMonitor completion operations, costs, and profitability.Design and implement completion and well workover plans and procedures.Generate and review AFEs for capital expenditures.Review expenditures for properties within a specified area.Analyze well problems and direct actions to be taken.Work well in a fast paced environment.Solve minor problems with little supervision.Consult with Completion Manager on higher risk and more complex problems and projects.Track costs and operational efficiency on a daily basis and report trends.Perform post completion appraisal and provide recommendations for performance improvement.Work with Completion Foremen to ensure safe and efficient operations.Support asset teams as requested.Assure compliance with governmental requirements and company policies.Provide training and resources to accomplish production goals.","Education:Bachelor of Science in Petroleum Engineering or a related field is required.Experience:Ten years of related experience or the equivalent combination of education and experience is required. Experience with Wellview is a plus.A valid state operator’s license is required.* Military experience is highly valued by the employer; candidates with military experience can expect some flexibility in terms of requirements, so long as fundamental skills and competencies are present.",,0,1,1,Full-time,,Bachelor's Degree,Oil & Energy,Engineering,0
35,I Want To Work At Karmarama,"GB, LND, ",All,,"At Karmarama we have a unique hiring policy: nice, talented and decent people who genuinely want to do what's right for their clients. Or 'keine wixer bitte' as our German friends say.We believe in good works. We put our clients at the heart of everything we do and only focus on doing what's right to help them win.We're always glad to meet nice, talented people. So if that's you and you're interested in joining the Karma Krew, please get in touch via the link below and we'll put you in touch with the relevant people.",Didn't see a role for you? Don't fret. We’re always looking for talented people to join our team. Send us your CV or portfolio if you are interested.,Hey!Thanks again for applying to Karmarama and showing your interest in our company. We do receive a high volume of CVs so it does take us a while to reply. However if you haven't heard from us in 14 days unfortunately it means that you have been unsuccessful this time around. But please don't let that bring you down. We have new roles very often so please feel encouraged to apply again.,,0,1,1,Full-time,,,Marketing and Advertising,,0
36,English Teacher Abroad ,"US, NY, Saint Bonaventure",,,We help teachers get safe &amp; secure jobs abroad :),"Play with kids, get paid for it Love travel? Jobs in Asia$1,500+ USD monthly ($200 Cost of living)Housing provided (Private/Furnished)Airfare ReimbursedExcellent for student loans/credit cardsGabriel Adkins : #URL_ed9094c60184b8a4975333957f05be37e69d3cdb68decc9dd9a4242733cfd7f7##URL_75db76d58f7994c7db24e8998c2fc953ab9a20ea9ac948b217693963f78d2e6b#12 month contract : Apply today ",University degree required. TEFL / TESOL / CELTA or teaching experience preferred but not necessaryCanada/US passport holders only,See job description,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
37,Graduates: English Teacher Abroad ,"US, NY, Yonkers",,,We help teachers get safe &amp; secure jobs abroad :),"Play with kids, get paid for it :-)Love travel? Jobs in Asia$1500 USD + monthly ($200 Cost of living)Housing providedAirfare ReimbursedExcellent for student loans/credit cardsGabriel Adkins : #URL_ed9094c60184b8a4975333957f05be37e69d3cdb68decc9dd9a4242733cfd7f7##URL_75db76d58f7994c7db24e8998c2fc953ab9a20ea9ac948b217693963f78d2e6b#",University degree required. TEFL / TESOL / CELTA or teaching experience preferred but not necessaryPositive attitude required. Canada/US passport only,See job description,0,1,0,Contract,,Bachelor's Degree,Education Management,,0
38,PROJECT MANAGER,"US, TX, HOUSTON",,,,"we are looking for a Project Manager. The Project Manager works within the Project Management Department, which is responsible for the management of offshore projects, executed for major oil and gas exploration companies worldwide. The Project Manager manages projects in compliance with the applicable management systems and in such a way that they are delivered on time and within budget, to the highest quality, operational and HSE standards and, most importantly, to the excellent satisfaction of our client. The Project Manager will establish and nurture long-standing relationships with our clients. Job requirements BSc or MSc degree in Civil Engineering, Mechanical Engineering, Offshore Engineering or equivalent; A minimum of 10 years offshore installation experience, preferably heavy lift or pipelay, and 3 years in a (project) management position; Extensive experience working in multi-disciplinary teams; Good communicator, building and developing relationship with clients and other external parties; Good command of the English language, both written and spoken; Excellent contractual, negotiation and people management skills; Self-motivated, with a proven track record of commercial success; Willingness to travel. Job tasks Act as the primary contact for the client, authorities and subcontractors; Prepare and manage the project execution plan; Co-ordinate all project activities (including those related to subcontracts) in order to achieve the best performance of the entire organisation; Establish a multi-discipline project organisation in co-operation with discipline leads; Ensure smooth transition between different project phases and functional handover; Ensure project safety performance; Review and approve all project documents and project purchases; Supervise project related internal and external cost reporting; Identify and approve concessions, variation order requests and changes to the contract and subcontracts; Supervise preparation of as-built documentation and prepare project close out reports; Develop and apply knowhow and experience for the purpose of improving customer service and delivering customer satisfaction; Promote and support continuous improvement activities within the Project",,,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Oil & Energy,Engineering,0
39,Art Director,"IN, AP, Hyderabad",Design,,"We're an emerging technology agency, and we build breakthrough products through user-centered design. We're building a team of the brightest minds in creative, engineering, and business because we love working with smart people. ","You love clients and getting to be a conduit for communication. You love what feels like magic when something beautiful is created to solve a business goal and meet a user’s need. You love working with other designers across a variety of projects. You don’t shy away from difficult conversations, and you are a natural mentor.  Creating visual designs in a fast-paced environment means bringing a strong voice, an efficiency of speed, and an eye for critiquing. Our environment calls for extreme communication, enthusiasm and empathy. As the Art Director, you understand that we have no time for divas or wannabe superheroes. You understand that success is determined by the strength of your team as a whole, and it’s essential each member carry his/her weight.As the Art Director, you’ll work closely with clients across a variety of verticals in both the consumer and enterprise space. These projects should push you outside of your comfort zone, while your industry experience will be utilized to help shape the future of Mutual Mobile’s design team.You’ll keep busy by:Leading work across 1 - 2 key accountsDefining projects in terms of scope, schedule and roadmap with other Account team leadsPromoting and perfecting the integration of agile techniques into the design processWorking with diverse teams to divide work and stay focused on the big pictureParticipating in Business Development pursuits and pitchesWorking to help define the design processCoaching and mentoring other designers to help them progress their career development","We want you if you have:3+ years of interactive visual design experienceStrong conceptual skills and the desire to solve complex design problemsEnough technical experience that you can comfortably express and react to the technical and user interface limits of mobile and touch interfacesExperience working with a Lean UX process in an agile environmentExpert level knowledge of relevant industry toolsStrong ability to guide and mentor junior designersStrong communication skills to effectively interact with clients and internal teamsAbility to work autonomously under tight deadlines on multiple projectsExperience to set the look and feel for large-scale mobile applicationsNot required, but more than useful:2 years as an Art Director at a top digital agency or similar roleInteraction Design skills (wireframing, prototyping, research)Basic HTML, Javascript and CSS skills (for prototyping)  Experience managing and mentoring other designersApplicants must provide a portfolio with examples of mobile work. ","Why work for Mutual Mobile? We craft beautiful mobile interfaces and solve complex software challenges. Clients such as Audi, Cisco, Jaguar Land Rover and Google come to us for our deep experience in mobile--from establishing a mobile strategy that provides impactful business value, to building those solutions from the ground up. We bring together the brightest minds in creative, engineering, and business to deliver solutions that actually matter.",0,1,1,Full-time,Mid-Senior level,,Computer Software,Design,0
40,Receptionist/Customer Service Technical Specialist ,"US, IL, Chicago",,,"Novitex Enterprise Solutions, formerly Pitney Bowes Management Services, delivers innovative document and communications management solutions that help companies around the world drive business process efficiencies, increase productivity, reduce costs and improve customer satisfaction. For almost 30 years, clients have turned to us to integrate and optimize their enterprise-wide business processes to empower employees, increase productivity and maximize results. As a trusted partner, we continually focus on delivering secure, technology-enabled document and communications solutions that improve our clients' work processes, enhance their customer interactions and drive growth.","The Receptionist will be based in Chicago, IL.  The right candidate will be an integral part of our talented team, supporting our continued growth.Responsibilities include but are not limited to:  Providing reception services, coverage and being the liaison for the scheduling and maintenance of conference duties.We are looking for team players who are proactive and are willing to do “whatever it takes” to get the job doneIdeal candidate has a “can do” attitudeGreet visitors, answer phones, and direct calls appropriatelyBe well spoken, clear and patient with all interactionsRemain calm and professional in stressful situationsFollow documented procedures and other duties as mutually agreedEnforce and handle security compliance standards regarding visitor’s badgesCoordinate conference room reservations and room preparationMaintain conference room standards as designatedHelp resolve employee and customer concerns/issuesAdministrative services/processing large volume reports/invoices using excel and assisting manager with quarterly business reviewsLift large bundles of mail and make mail deliveriesHandle time-sensitive and confidential materialPerform duties and special requests as assigned by management and clientParticipate in cross-training and be flexible to perform varying roles whenever necessaryBalance workload; provide guidance and direction to teamServe as focal point for communication with customer and company personnelEnsure operating and quality standards are met based on service objectivesMaintain accuracy of required reports, logs and measurementsEnsure the highest levels of customer careEnsure adherence to business guidelines, safety &amp; security proceduresSupport financial results by minimizing site waste and reworkDressing in professional attirePerform other tasks as assigned ","Required Qualifications:High School diploma or equivalent (GED) requiredMinimum of 1 year customer service related experience requiredComputer proficiency in email environments, MS Office, OutlookStrong organizational and administrative skills requiredAbility to communicate both verbally and written with customers and client personnelExperience coordinating and designating work to employeesAbility to excel in a fast-paced, multi-tasking, team environmentAbility to effectively work independently and in a team environmentAbility to adhere and administer companies policies and proceduresCreative thinkerOutstanding work ethicTarget-drivenEnthusiastic and passionateSitting for long periods of timeAbility to meet attendance policySuccessful completion of a pre-employment drug screening, employment history check, credit check and criminal background check",,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,Administrative,0
41,English Teacher Abroad ,"US, PA, Kutztown",,,We help teachers get safe &amp; secure jobs abroad :),"Play with kids, get paid for it Love travel? Jobs in Asia$1,500+ USD monthly ($200 Cost of living)Housing provided (Private/Furnished)Airfare ReimbursedExcellent for student loans/credit cardsGabriel Adkins : #URL_ed9094c60184b8a4975333957f05be37e69d3cdb68decc9dd9a4242733cfd7f7##URL_75db76d58f7994c7db24e8998c2fc953ab9a20ea9ac948b217693963f78d2e6b#12 month contract : Apply today ",University degree required. TEFL / TESOL / CELTA or teaching experience preferred but not necessaryCanada/US passport holders only,See job description,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
42,English Teacher Abroad ,"US, CA, Sacramento",,,We help teachers get safe &amp; secure jobs abroad :),"Play with kids, get paid for it Love travel? Jobs in Asia$1,500+ USD monthly ($200 Cost of living)Housing provided (Private/Furnished)Airfare ReimbursedExcellent for student loans/credit cardsGabriel Adkins : #URL_ed9094c60184b8a4975333957f05be37e69d3cdb68decc9dd9a4242733cfd7f7##URL_75db76d58f7994c7db24e8998c2fc953ab9a20ea9ac948b217693963f78d2e6b#12 month contract : Apply today :-)",University degree required. TEFL / TESOL / CELTA or teaching experience preferred but not necessaryCanada/US passport holders only,See job description,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
43,Jr. Developer,US,,40000-50000,,"Entry level Software DeveloperLocation : Atlanta, GeorgiaExperience : 1-2 yearsExperience in a production web environment implementing mission critical services.Development of Web Server side PHP in LAMP environments Having experience with XHTML / CSS/ Javascript ia a plus, Knowledge in any of the JavaScript Frameworks and supportive technologiesFamiliarity with Debian Linux,OS X, Ubuntu",,,0,0,0,Full-time,Entry level,Bachelor's Degree,Computer Software,Engineering,0
44,Customer Service Associate Receptionist ,"US, MD, Columbia",,,"Novitex Enterprise Solutions, formerly Pitney Bowes Management Services, delivers innovative document and communications management solutions that help companies around the world drive business process efficiencies, increase productivity, reduce costs and improve customer satisfaction. For almost 30 years, clients have turned to us to integrate and optimize their enterprise-wide business processes to empower employees, increase productivity and maximize results. As a trusted partner, we continually focus on delivering secure, technology-enabled document and communications solutions that improve our clients' work processes, enhance their customer interactions and drive growth.","The Customer Service Associate will be based in Columbia, MD. The right candidate will be an integral part of our talented team, supporting our continued growth.Responsibilities:Answering phones and providing callers with professional, courteous and prompt assistance.Collect and document lobby activity and metricsModerate to complex clerical and administrative assignmentsSubmit and follow up with facilities requestsResponsible for maintaining a pleasant and businesslike atmosphere in lobbyAdhere to security policies and proceduresHandle badge requests and photosHandle incoming and outgoing packages and mailAssist with conference room coordination and light cleaning and site organization","Minimum Requirements:Minimum of 6 months customer service related experience requiredHigh school diploma or equivalent (GED) requiredPreferred Qualifications:Keyboarding and windows environment PC skills required (Word, Excel and PowerPoint preferred)Able to maintain constant communication with supervisor and clientsExcellent communication skills both verbal and writtenLifting up to 55 lbs with or without accommodationsWillingness to submit to a pre-employment drug screening and criminal background checkAbility to effectively work individually or in a team environmentCompetency in performing multiple functional tasksAbility to meet employer's attendance policy ",,0,1,0,Full-time,Entry level,High School or equivalent,Consumer Services,Customer Service,0
45,Customer Service Team Lead ,"US, OK, Tulsa",,,"Novitex Enterprise Solutions, formerly Pitney Bowes Management Services, delivers innovative document and communications management solutions that help companies around the world drive business process efficiencies, increase productivity, reduce costs and improve customer satisfaction. For almost 30 years, clients have turned to us to integrate and optimize their enterprise-wide business processes to empower employees, increase productivity and maximize results. As a trusted partner, we continually focus on delivering secure, technology-enabled document and communications solutions that improve our clients' work processes, enhance their customer interactions and drive growth.","We are currently seeking a Customer Service Team Lead. The right candidate will be an integral part of our talented team, supporting our continued growth. This position will be located in our Tulsa, OKlocation.Responsibilities include, but are not limited to:Must be proficient in Microsoft Office toolsCreate and consolidate data from Excel SpreadsheetsReview and update proceduresWritten communication with customerPerform various Mail Center activities (sorting, metering, folding, inserting, delivery, pickup, etc.)Lift heavy boxes, files or paper when neededMaintain the highest levels of customer care while demonstrating a friendly and cooperative attitudeDemonstrate flexibility in satisfying customer demands in a high volume, production environmentConsistently adhere to business procedure guidelinesAdhere to all safety proceduresTake direction from supervisor or site managerMaintain all logs and reporting documentation; attention to detailParticipate in cross-training and perform other duties as assigned (Filing, outgoing shipments, etc)Operating mailing, copy or scanning equipmentShipping &amp; ReceivingHandle time-sensitive material like confidential, urgent packagesMaintain the highest levels of customer care while demonstrating a friendly and cooperative attitudePerform other tasks as assignedScanning incoming mail to recipientsPerform file purges and pullsProvide backfill when neededEnter information daily into spreadsheetsDemonstrate flexibility in satisfying customer demands in a high volume, production environmentTake direction from supervisor or site managerParticipate in cross-training and perform other duties as assignedMaintain all logs and reporting documentation; strong attention to detailConsistently adhere to business procedure guidelinesSort and deliver mail, small packagePerform any and all duties as assigned by management within reprographic services.Establish operating procedures and quality standards.Test and evaluate new equipment and materials.Responsible for all aspects of equipment.Remain informed and adhere to all established safety and security procedures.Perform necessary adjustments as outlined in the operator’s manual for set equipment.Follow start-up, shut-down and clean-up procedures for equipment.Occasional performance of limited operations on more complex, automated equipment.Monitor operations and make mechanical adjustments as needed, to ensure proper quality output.FilingPull and re-shelve FilesSort and prep documents or files for scanningScanningUtilize customer database to look up informationWhen Necessary: Assist in other site duties when needed","Required Qualifications:High school diploma or equivalent (GED) requiredMinimum of three months customer service related experience preferred.Demonstrated knowledge and experience in a related functional area preferred.Skills and Attributes:Computer skills a must – Proficient with email, Microsoft Office, instant messaging and multiple inventory software programs will be used on a daily basis.Able to effectively communicate in writing and verbally with clients and company personnel.Planning and organization skills.Excellent attendance.Customer service, people oriented.Able to effectively work independently or in a team environment.Basic mathematical knowledge.Demonstrate competency in performing required tasks.Demonstrate proficiency in operation of related equipment.High level of accuracy is critical, attention to detail.May be required to work flexible hours.",,0,1,0,Full-time,Entry level,High School or equivalent,Computer Software,Customer Service,0
46,Inside Sales Professional-Omaha,"US, NE, Omaha",,,"ABC Supply Co., Inc. is the nation’s largest wholesale distributor of roofing and one of the largest distributors of siding, windows, and other exterior building products. Since our start in 1982, we've grown to become a national organization with over 450 locations in 45 states. Our mission is to be the biggest, best, and easiest service company distributing exterior building products. We fulfill that mission by stocking the brands and products contractors need at competitive prices, operating a state-of-the-art delivery system, and actively listening to our customers. We know that we will only be successful when our customers are successful. That’s why we make good on our promises every day.","As a Sales Representative, you will provide assistance to our customers as they purchase the materials and tools they need for a wide variety of roofing, siding, and window/door replacement projects. From the moment you greet customers until their sales have been finalized, you will provide them with the best in customer service and exterior building supply expertise.Your specific duties as a Sales Representative may include:Determining customers’ needs and recommending appropriate products and solutionsFollowing ABC’s product/supply checklist for each customer’s specific job and upselling additional products and supplies for that jobAnswering customer questions and offering product adviceOrdering products from other ABC Supply branches when necessaryAccepting payment and applying it to the appropriate customer accountArranging with the warehouse for customer product pickupFollowing-up on each delivery to ensure that shipment arrived on time with all items accounted forBalancing out cash drawers and preparing bank deposits at the end of each dayArranging product displays and layouts to maximize effectivenessReordering products to keep the store and warehouse shelves well stockedGiving out comment cards to customersAddressing and resolving customer complaints when necessary","As a Sales Representative, you must have the ability to provide superior customer service and to go the extra mile to determine and provide exactly what each customer needs. It helps if you have experience with exterior building supplies so that you are familiar with the various products and associated contractor terminology. As a Sales Representative, you will also need to be self-motivated with a strong work ethic and excellent attention to detail.Specific qualifications for the Sales Representative position include:1-2 years retail/customer service experience; experience with residential roofing and siding and windows (retail supply sales or site work with a crew) preferredStrong retail merchandising skills (including shelving and layout)Excellent verbal and written communication and interpersonal skillsSolid time management and prioritization skillsBasic computer skillsAbility to lift 50-75 pounds","Your benefits package as a Sales Representative may include:Health, dental, and vision coverageLife insurance401(k)Flex spendingBonus opportunities2 weeks vacation after first full year of employmentPersonal daysSick daysPaid holidays",0,1,0,Full-time,,,Building Materials,Sales,0
47,Entry Level ,"EG, C, ",,,"History &amp; Background The Bank started its activities in Feb. 1985 at the time when the economic arena was characterized by major developments, a matter which gave the bank mission special significance, as Egypt was suffering at that time from great pressures on its balance of payments. This was apart from the rising deficit of the balance of trade. Consequently, the external debt problem started to represent a sort of concern to the Egyptian economy in all its sectors.The Bank was founded as a financial institution to boost Egyptian exports. The export development issue is not only an economic policy to cope with the balance of payments problem, but also represents a strategic trend for development policies in a global economy that gets closer and integrated every day. Accordingly, the export sector is a crucial propeller for modernization and development. There are various examples of many small and medium size countries in which the export sector played a significant role in developing their economies.General Trend of Bank Activities Export Development Bank of Egypt adopts special measures such as excellence and quality in playing its pivotal role. Through its distinguished performance, the bank aims to be one of the remarkable financial centers, thus it does not confine its target to attain maximum profitability only, but also to achieve prosperity.Since its inception, the Bank has managed to maintain its identity as a commercial and investment bank; rather than a deposit collecting retail commercial bank. The bank has always been eager to support the export sector through financing investment projects pertaining to such sector, which is contrary to the main philosophy of commercial banks that aim at working capital financing for existing projects. In Egypt common practice has shown that most of the development banks have turned to current operations and deposit gathering, acting as mere commercial banks and thus deviating from their authentic target of being investment and development financial institutions.The bank resorted to opening of new branches and gathering deposits in order to meet its main goal of establishing and boosting a solid export sector. Consequently, the bank persisted on gathering deposits of companies and corporations in order to be a wholesale bank. The bank re-affirmed its geographic presence in export oriented locations like that of Alexandria that was opened in May 1989 and Tenth of Ramadan in September 1989.With the change of the government monetary policy during the early nineties, and the tendency to develop sources of finance through issuing treasury bills and bonds, and lifting subsidized interest rates by all means,  the bank was motivated to establish a network of branches to mobilize financial resources. Accordingly, the network of branches at our bank had increasingly expanded to 21 branches in March 2012.With the beginning of the financial reform in 2004 following the amendment of Central Bank Law, as well as The Banking Sector and Money Law no. 88/2003, Central Bank reclassified all banks thus giving them full freedom to open new branches and promote several saving. Accordingly, the bank had to rectify all its future plans to include branch expansion policy, as well as the new banking products that concern individuals and corporations.  Developments of Bank's Activities :Throughout the life of the Bank that exceeds quarter of a century, EDBE witnessed numerous aspect of development, most significant of which were the following:Ownership :Ownership:Regarding ownership structure, the Bank has endeavored to develop the Egyptian capital market through launching new products in order to assume its basic role as an important source of funding. At first, the bank managed to change its articles of association to allow the private sector and the Egyptian family sector to contribute to its capital. It also aspired to allow its staff to own some shares of its capital part as one kind of propagating the culture of dealing with the capital market and as an incentive to the staff to further foster their loyalty and belonging to the institution in which they work.On the other hand, the Bank managed to establish companies focusing on export development, thus allowing the staff own some shares of their capital. Such companies realized good gains for the bank when sold e.g. Roto Pack and Techno Pack.Loans &amp; advancesIt is worth mentioning that the Bank's loans and advances portfolio has experienced several phases of progress throughout the history of the Bank. At the beginning, the bank focused on medium term finance for export projects or those that aim at exports in order to increase the export capacity of the country thus propagating the culture of production for export and not export of surplus products.In a subsequent phase, the bank expanded to focus on financing the working capital of different sectors of the economy.The global financial crisis at the end of the twentieth century that hit the banking sector in Egypt left behind it several criticized and troubled debts that had, in turn, its effects on our Bank. Subsequently, our Bank encountered some difficulties as a result of having a high segment of exporters who deal with the external world, thus encountering some problems which, in turn, had its effects on the credit portfolio. Nevertheless, through its efforts and due to its high coverage ratio and credit worthiness, the bank became one of the most reputable high ranking institutions regarding the quality of its loan portfolio. ",We offer diversified opportunities in various fields including but not limited to- Corporate Banking.- SME'S.- Branches Network Retail and Marketing-corporate banking . ,"-0-1 years experience English Bachelor in commerce ,Business Administration ,Economics or its Equivalent- Excellent Computer Skills - Very good communication &amp; interpersonal skills.",,0,0,0,Full-time,Entry level,Bachelor's Degree,Banking,,0
48,Customer Service Associate ,"US, TN, Brentwood",,,"Novitex Enterprise Solutions, formerly Pitney Bowes Management Services, delivers innovative document and communications management solutions that help companies around the world drive business process efficiencies, increase productivity, reduce costs and improve customer satisfaction. For almost 30 years, clients have turned to us to integrate and optimize their enterprise-wide business processes to empower employees, increase productivity and maximize results. As a trusted partner, we continually focus on delivering secure, technology-enabled document and communications solutions that improve our clients' work processes, enhance their customer interactions and drive growth.","The Customer Service Associate will be based in Brentwood, TN. The right candidate will be an integral part of our talented team, supporting our continued growth.Key responsibilities:Operate SwitchboardCreate labels, assemble outgoing packages, and not computer systemData entryGreet visitors and general clerical duties.Perform various Mail Center activities (sorting, metering, folding, inserting, delivery, pickup, etc.)Create excel spreadsheets, mail merge projects and word documentsAddress and label lettersComplete multiple projects at one timeLift heavy boxes, files or paper when neededMaintain the highest levels of customer care while demonstrating a friendly and cooperative attitudeDemonstrate flexibility in satisfying customer demands in a high volume, production environmentConsistently adhere to business procedure guidelinesAdhere to all safety proceduresTake direction from supervisor or site managerMaintain all logs and reporting documentation; attention to detailParticipate in cross-training and perform other duties as assignedOperating mailing, copy or fax equipmentShipping &amp; ReceivingLift large bundles of mail, overnight packages and shipments of paperHandle time-sensitive material like confidential, urgent packagesMaintain the highest levels of customer care while demonstrating a friendly and cooperative attitudePerform other tasks as assigned","Minimum Requirements:High school diploma or equivalent (GED) requiredMinimum of 1 year customer service related experience requiredDesired Skills:Ability to communicate both verbally and written with customers and company personnel requiredComputer proficiency in email environments, MS Word/Excel or similar programs preferredAbility to handle multiple projects simultaneouslyStrong organizational and administrative skills preferredHandling up to a maximum of 55  pounds with or without accommodationsSort and deliver mail, packages, pouches both incoming and outgoingAbility to walk, sit, stand or sit for long periods (possibly entire shift)Ability to adhere to employee attendance policy",,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,Administrative,0
49,English Teacher Abroad ,"US, OH, Kent",,,We help teachers get safe &amp; secure jobs abroad :),"Play with kids, get paid for it Love travel? Jobs in Asia$1,500+ USD monthly ($200 Cost of living)Housing provided (Private/Furnished)Airfare ReimbursedExcellent for student loans/credit cardsGabriel Adkins : #URL_ed9094c60184b8a4975333957f05be37e69d3cdb68decc9dd9a4242733cfd7f7##URL_75db76d58f7994c7db24e8998c2fc953ab9a20ea9ac948b217693963f78d2e6b#12 month contract : Apply today ",University degree required. TEFL / TESOL / CELTA or teaching experience preferred but not necessaryCanada/US passport holders only,See job description,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
50,Customer Service Team Lead,"US, NH, Dover",,,"Novitex Enterprise Solutions, formerly Pitney Bowes Management Services, delivers innovative document and communications management solutions that help companies around the world drive business process efficiencies, increase productivity, reduce costs and improve customer satisfaction. For almost 30 years, clients have turned to us to integrate and optimize their enterprise-wide business processes to empower employees, increase productivity and maximize results. As a trusted partner, we continually focus on delivering secure, technology-enabled document and communications solutions that improve our clients' work processes, enhance their customer interactions and drive growth.","We are currently seeking a Customer Service Team Lead. The right candidate will be an integral part of our talented team, supporting our continued growth. This position will be located in our Dover, NH location.Responsibilities include, but are not limited to:Data entryPerform various Mail Center activities (sorting, metering, folding, inserting, delivery, pickup, etc.)Address and label lettersComplete multiple projects at one timeLift heavy boxes, files or paper when neededMaintain the highest levels of customer care while demonstrating a friendly and cooperative attitudeDemonstrate flexibility in satisfying customer demands in a high volume, production environmentConsistently adhere to business procedure guidelinesAdhere to all safety proceduresTake direction from site managerMaintain all logs and reporting documentation; attention to detailParticipate in cross-training and perform other duties as assignedOperating mailing, copy or fax equipmentShipping &amp; ReceivingLift large bundles of mail, overnight packages and shipments of paperHandle time-sensitive material like confidential, urgent packagesProvide courier servicesMaintain the highest levels of customer care while demonstrating a friendly and cooperative attitudePerform other tasks as assigned","Required Qualifications:High school diploma or equivalent (GED) requiredMinimum of 1 year customer service related experience requiredAbility to communicate both verbally and written with customers and company personnel requiredComputer proficiency in email environments, MS Word/Excel or similar programs preferredAbility to handle multiple projects simultaneouslyStrong organizational and administrative skills preferredHandling up to a maximum of 55  pounds with or without accommodationsSort and deliver mail, packages, pouches both incoming and outgoingAbility to walk, sit, stand or sit for long periods (possibly entire shift)Ability to adhere to employee attendance policy",,0,1,0,Full-time,Entry level,High School or equivalent,Facilities Services,Customer Service,0
51,"Food Production Manager @ PGI, a Food Production Company","US, NV, Carson City",Production,,"PGI is a fast growing organic herb/spice/botanicals importing and production company that utilizes extensive food safety, handling and management practices to insure a quality product. ","November, 2014Pure Ground Ingredients (PGI)in Carson CityPGI is a fast growing organic herb/spice/botanicals importing and production company that utilizes extensive food safety, handling and management practices to insure a quality product. We currently have a number of open positions in our shipping, warehouse and production operations.Food Production Manager- Experience managing staff and processing including milling, blending, packing, roasting, micro treatment operations, etc..- Experience with OSHA, HACCP and industry food/safety standards and policies- Experience manage physical plant operations, including electrical and food production machineryAll applicants must submit to drug and background screening.Company is an Equal Opportunity Employer.","Manager role requirements- Multi-lingual (English &amp; Spanish)- Computer literate (MS Excel, email, web browsing, etc)- Previous food production/manufacturing experience- Team leadership and staff development experienceRequirements for applicants- Submit resume (please don't call/visit).- Specify which position you are applying for.- Include a brief statement indicating your background match to our requirements.",,0,1,0,Full-time,Entry level,High School or equivalent,Food & Beverages,Production,0
